user_id,product_id,quantity,total_price,created_at,label
2,1,2,50.0,2025-08-19 03:43:41,1
2,1,2,50.0,2025-08-19 03:49:57,1
2,2,4,180.0,2025-08-19 03:49:57,1
3,2,3,135.0,2025-08-19 04:19:11,1
3,4,8,400.0,2025-08-19 04:19:11,1
3,5,2,7000.0,2025-08-19 04:22:12,1
3,4,6,300.0,2025-08-19 04:22:51,1
21,179,1,82.39,2025-08-19 06:59:07,1
85,110,4,182.08,2025-08-19 06:59:07,1
29,34,5,707.25,2025-08-19 06:59:07,1
88,68,5,960.4,2025-08-19 06:59:07,1
8,49,4,654.2,2025-08-19 06:59:07,1
95,48,2,87.06,2025-08-19 06:59:07,1
145,94,2,354.26,2025-08-19 06:59:07,1
99,153,2,12.12,2025-08-19 06:59:07,1
86,2,5,795.8,2025-08-19 06:59:07,1
22,109,4,538.28,2025-08-19 06:59:07,1
46,7,4,782.56,2025-08-19 06:59:07,1
93,188,4,574.68,2025-08-19 06:59:07,1
146,86,5,864.5,2025-08-19 06:59:07,1
50,157,3,242.4,2025-08-19 06:59:07,1
52,71,2,297.68,2025-08-19 06:59:07,1
114,10,5,290.9,2025-08-19 06:59:07,1
105,52,3,202.11,2025-08-19 06:59:07,1
143,185,1,95.58,2025-08-19 06:59:07,1
116,178,5,908.25,2025-08-19 06:59:07,1
87,86,1,172.9,2025-08-19 06:59:07,1
134,17,4,618.04,2025-08-19 06:59:07,1
112,164,5,305.95,2025-08-19 06:59:07,1
91,107,5,513.3,2025-08-19 06:59:07,1
3,103,1,66.99,2025-08-19 06:59:07,1
88,27,1,165.13,2025-08-19 06:59:07,1
7,188,4,574.68,2025-08-19 06:59:07,1
43,152,2,12.64,2025-08-19 06:59:07,1
137,27,5,825.65,2025-08-19 06:59:07,1
57,47,4,297.32,2025-08-19 06:59:07,1
49,141,4,627.4,2025-08-19 06:59:07,1
40,51,2,279.0,2025-08-19 06:59:07,1
25,31,2,152.96,2025-08-19 06:59:07,1
63,108,5,499.55,2025-08-19 06:59:07,1
39,97,3,80.16,2025-08-19 06:59:07,1
128,48,5,217.65,2025-08-19 06:59:07,1
130,128,3,52.8,2025-08-19 06:59:08,1
109,91,4,278.32,2025-08-19 06:59:08,1
99,59,1,127.96,2025-08-19 06:59:08,1
18,113,1,131.19,2025-08-19 06:59:08,1
37,99,4,379.44,2025-08-19 06:59:08,1
62,35,5,214.3,2025-08-19 06:59:08,1
59,24,2,176.52,2025-08-19 06:59:08,1
71,21,5,521.9,2025-08-19 06:59:08,1
142,17,3,463.53,2025-08-19 06:59:08,1
113,121,4,362.76,2025-08-19 06:59:08,1
82,139,2,156.58,2025-08-19 06:59:08,1
9,78,2,298.38,2025-08-19 06:59:08,1
42,157,3,242.4,2025-08-19 06:59:08,1
37,43,3,195.93,2025-08-19 06:59:08,1
82,68,2,384.16,2025-08-19 06:59:08,1
126,101,4,386.04,2025-08-19 06:59:08,1
109,34,2,282.9,2025-08-19 06:59:08,1
50,67,3,400.29,2025-08-19 06:59:08,1
130,168,3,101.49,2025-08-19 06:59:08,1
78,143,4,95.24,2025-08-19 06:59:08,1
19,11,4,739.48,2025-08-19 06:59:08,1
22,77,2,362.34,2025-08-19 06:59:08,1
23,134,3,408.21,2025-08-19 06:59:08,1
65,55,3,135.51,2025-08-19 06:59:08,1
107,183,1,119.92,2025-08-19 06:59:08,1
5,92,3,144.09,2025-08-19 06:59:08,1
81,177,5,876.3,2025-08-19 06:59:08,1
79,188,2,287.34,2025-08-19 06:59:08,1
103,107,1,102.66,2025-08-19 06:59:08,1
126,141,4,627.4,2025-08-19 06:59:08,1
11,153,1,6.06,2025-08-19 06:59:08,1
65,68,3,576.24,2025-08-19 06:59:08,1
39,67,2,266.86,2025-08-19 06:59:08,1
98,110,3,136.56,2025-08-19 06:59:08,1
65,80,4,426.6,2025-08-19 06:59:08,1
135,95,3,93.24,2025-08-19 06:59:08,1
89,132,1,11.01,2025-08-19 06:59:08,1
51,139,4,313.16,2025-08-19 06:59:08,1
9,145,5,474.45,2025-08-19 06:59:08,1
116,186,1,196.78,2025-08-19 06:59:08,1
137,182,2,389.74,2025-08-19 06:59:08,1
102,134,2,272.14,2025-08-19 06:59:08,1
87,184,2,74.2,2025-08-19 06:59:08,1
18,158,5,194.9,2025-08-19 06:59:08,1
135,153,3,18.18,2025-08-19 06:59:08,1
35,136,4,105.16,2025-08-19 06:59:08,1
81,20,1,51.19,2025-08-19 06:59:08,1
79,109,4,538.28,2025-08-19 06:59:08,1
58,94,5,885.65,2025-08-19 06:59:08,1
126,127,5,999.45,2025-08-19 06:59:08,1
149,56,5,269.5,2025-08-19 06:59:08,1
146,36,3,233.61,2025-08-19 06:59:08,1
122,163,3,557.79,2025-08-19 06:59:08,1
94,85,4,424.24,2025-08-19 06:59:08,1
92,185,2,191.16,2025-08-19 06:59:08,1
113,129,1,115.38,2025-08-19 06:59:08,1
94,35,2,85.72,2025-08-19 06:59:08,1
39,31,5,382.4,2025-08-19 06:59:08,1
132,144,3,443.7,2025-08-19 06:59:08,1
125,49,3,490.65,2025-08-19 06:59:08,1
24,85,2,212.12,2025-08-19 06:59:08,1
107,71,3,446.52,2025-08-19 06:59:08,1
122,80,5,533.25,2025-08-19 06:59:08,1
44,188,2,287.34,2025-08-19 06:59:08,1
39,153,5,30.3,2025-08-19 06:59:08,1
83,15,4,684.52,2025-08-19 06:59:08,1
141,173,2,286.58,2025-08-19 06:59:08,1
18,76,2,168.92,2025-08-19 06:59:08,1
46,173,3,429.87,2025-08-19 06:59:08,1
69,51,5,697.5,2025-08-19 06:59:08,1
50,136,2,52.58,2025-08-19 06:59:08,1
148,26,1,113.89,2025-08-19 06:59:08,1
9,35,2,85.72,2025-08-19 06:59:08,1
151,1,4,580.24,2025-08-19 09:26:14,1
151,3,1,97.11,2025-08-19 09:26:14,1
151,97,1,26.72,2025-08-19 10:02:49,1
151,1,1,145.06,2025-08-19 10:02:49,1
1,1,1,145.06,2025-08-19 10:31:19,1
1,2,2,318.32,2025-08-19 10:31:19,1
1,2,1,159.16,2025-08-19 10:56:25,1
1,1,1,145.06,2025-08-19 11:23:01,1
2,4,0,0.0,,0
2,5,0,0.0,,0
